system_cod,location_c,location_n,BEDS,Managed_by,location_t,Location_1,Grades_tex,Grades_fin,open_date,Status_des,Primary_bu,primary_ad,X_COORDINA,Y_COORDINA,LONGITUDE,LATITUDE,Community_,Council-di,Census_tra,Borough_bl,NTA,NTA_Name,Geographic,Administra,Administ_1,communit_1,LOC_CODE
25Q252,Q252,"Queens School of Inquiry, The",342500011252,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",2005/07/01 00:00:00.000,Open,Q168,158-40 76 ROAD,"1037086","203178",-73.809380000000004,40.724195000000002,"408","24","125700","4068260001",QN37,Kew Gardens Hills,"25","25",NULL,NULL,Q252
27Q253,Q253,P.S. 253,342700010253,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",2004/07/01 00:00:00.000,Open,Q253,1307 CENTRAL AVENUE,"1054000","160613",-73.748799000000005,40.607247000000001,"414","31","103202","4155410001",QN15,Far Rockaway-Bayswater,"27","27",COMMUNITY SCHOOL DISTRICT 27,"AMBERT, JENNIFER",Q253
27Q254,Q254,P.S. 254 - The Rosa Parks School,342700010254,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",2004/07/01 00:00:00.000,Open,Q254,84-40 101 STREET,"1026430","193322",-73.847886000000003,40.697200000000002,"409","32","2400","4091770023",QN54,Richmond Hill,"27","27",COMMUNITY SCHOOL DISTRICT 27,"AMBERT, JENNIFER",Q254
75Q255,Q255,P.S. Q255,307500014255,DOE,Special Education,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",1991/11/05 00:00:00.000,Open,Q168,158-40 76 ROAD,"1037086","203178",-73.809380000000004,40.724195000000002,"408","24","125700","4068260001",QN37,Kew Gardens Hills,"25","75",CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",Q255
30Q258,Q258,Energy Tech High School,343000011258,DOE,Career Technical,High school,"09,10,11,12,SE","09,10,11,12,13,14",2013/07/01 00:00:00.000,Open,Q204,36-41 28 STREET,"1002915","214887",-73.932627999999994,40.756470999999998,"401","26","5100","4003430001",QN68,Queensbridge-Ravenswood-Long Island City,"30","30",NULL,NULL,Q258
29Q259,Q259,Pathways College Preparatory School: A College Boa,342900011259,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",2005/07/01 00:00:00.000,Open,Q192,109-89 204 STREET,"1052764","196584",-73.752885000000006,40.705989000000002,"412","27","50800","4109440301",QN07,Hollis,"29","29",NULL,NULL,Q259
27Q260,Q260,Frederick Douglass Academy VI High School,342700011260,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",2004/09/08 00:00:00.000,Open,Q465,8-21 BAY 25 STREET,"1049786","158521",-73.763994999999994,40.601537000000000,"414","31","100802","4157360001",QN15,Far Rockaway-Bayswater,"27","27",NULL,NULL,Q260
27Q261,Q261,Voyages Prep - South Queens,342700011261,DOE,Transfer School,High school,"09,12,SE","09,10,11,12",2013/07/01 00:00:00.000,Open,Q400,156-10 BAISLEY BOULEVARD,"1044531","184889",-73.782684000000003,40.673949000000000,"412","28","29400","4122610001",QN02,Springfield Gardens North,"27","27",NULL,NULL,Q261
27Q262,Q262,Channel View School for Research,342700011262,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",2004/09/08 00:00:00.000,Open,Q410,100-00 BEACH CHANNEL DRIVE,"1032769","152825",-73.825316999999998,40.586011999999997,"414","32","93800","4161670099",QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,"27","27",NULL,NULL,Q262
25Q263,Q263,Flushing International High School,342500011263,DOE,General Academic,High school,"09,10,11,12","09,10,11,12",2004/09/08 00:00:00.000,Open,Q189,144-80 BARCLAY AVENUE,"1034559","216204",-73.818398999999999,40.759962999999999,"407","20","86300","4050510027",QN51,Murray Hill,"25","25",NULL,NULL,Q263
