"BUILDING 
CODE",SCHOOL NAME,TYPE,Borough,NUMBER,boro_code,ADDRESS,BOROUGH,STATE,ZIP
X079,School for Environmental Citizenship,PS,X,386,X386,125 EAST 181 STREET,BRONX,NY,10453
XASK,Mott Haven Academy Charter School,IS,X,394,X394,170 BROWN PLACE,BRONX,NY,10454
X026,,PS,X,396,X396,1930 ANDREWS AVENUE,BRONX,NY,10453
,@181,P (District 75),K,396,K396,1023 New York Avenue,Brooklyn,NY,11203
,@main,P (District 75),K,396,K396,110 Chester Street,Brooklyn,NY,11212
,@323,P (District 75),K,396,K396,210 Chester Street,Brooklyn,NY,11212
,@532,P (District 75),K,396,K396,1025 Eastern Parkway,Brooklyn,NY,11213
,@289,P (District 75),K,396,K396,900 St. Marks Avenue,Brooklyn,NY,11213
M834,"High School for 
Environmental Studies",HS,M,400,M400,444 WEST 56 STREET,MANHATTAN,NY,10019
M470,"The Urban Assembly 
School for Green Careers",HS,M,402,M402,145 WEST 84 STREET,MANHATTAN,NY,10024
X400,Bronx International High School,HS,X,403,X403,1110 BOSTON ROAD,BRONX,NY,10456
K480,"Academy for 
Environmental Leadership",HS,K,403,K403,400 IRVING AVENUE,BROOKLYN,NY,11237
x400,School for Excellence,HS,X,404,X404,1110 Boston Road,Bronx,NY,10456
X400,School for Excellence,,X,404,X404,1110 BOSTON ROAD,BRONX,NY,10456
X405,Herbert H. Lehman High School,HS,X,405,X405,3000 EAST TREMONT AVENUE,BRONX,NY,10461
K405,Midwood High School,HS,K,405,K405,2839 BEDFORD AVENUE,BROOKLYN,NY,11210
M475,Institute for Collaborative Education,MS/HS,M,407,M407,345 EAST 15TH STREET,MANHATTAN,NY,10003
K465,Academy of Hospitality and Tourism,,K,408,K408,911 FLATBUSH AVENUE,BROOKLYN,NY,11226
K819,"East New York Family 
Academy",,K,409,K409,145 PENNSYLVANIA AVENUE,BROOKLYN,NY,11207
K410,Abraham Lincoln High School,HS,K,410,K410,2800 OCEAN PARKWAY,BROOKLYN,NY,11235
X410,"Bronx High School of 
Business",HS,X,412,X412,240 EAST 172 STREET,BRONX,NY,10457
K117,"Brooklyn Community High School of Communication, Arts and Media",HS,K,412,K412,300 WILLOUGHBY AVENUE,BROOKLYN,NY,11205
M660,School of the Future High School,HS,M,413,M413,127 EAST 22 STREET,MANHATTAN,NY,10010
X410,Bronx High School for Medical Science,HS,X,413,X413,240 EAST 172 STREET,BRONX,NY,10457
X410,"Jonathan Levin High 
School for Media and 
Communications",HS,X,414,X414,240 EAST 172 STREET,BRONX,NY,10457
M088,"Wadleigh Secondary 
School for the Performing & Visual Arts",HS,M,415,M415,215 WEST 114 STREET,MANHATTAN,NY,10026
M824,Millennium High School,HS,M,418,M418,75 BROAD STREET,MANHATTAN,NY,10004
XAUV,Bronx Academy of Promise Charter School,Charter,X,419,X419,1349 INWOOD AVENUE,BRONX,NY,10452
M440,Quest to Learn,,M,422,M422,351 WEST 18 STREET,MANHATTAN,NY,10011
K520,Brooklyn Frontiers High School,HS,K,423,K423,112 SCHERMERHORN STREET,BROOKLYN,NY,11201
X074,The Hunts Point School,PS,X,424,X424,730 BRYANT AVENUE,BRONX,NY,10474
K425,"James Madison High 
School",HS,K,425,K425,3787 BEDFORD AVENUE,BROOKLYN,NY,11229
K293,Digital Arts and Cinema Technology High School,MS/HS,K,429,K429,284 BALTIC STREET,BROOKLYN,NY,11201
M965,The Equity Project Charter School (TEP),,M,430,M430,549 AUDOBON AVENUE,MANHATTAN,NY,10040
K430,Brooklyn Technical High School,HS,K,430,K430,29 FT GREENE PLACE,BROOKLYN,NY,11217
,430@IS349 The Equity Project Charter School (TEP),,K,430,K430,,Brooklyn,NY,
M620,Murray Hill Academy,MS,M,432,M432,111 EAST 33RD STREET,MANHATTAN,NY,10016
Q435,Martin Van Buren High School,HS,Q,435,Q435,230-17 HILLSIDE AVENUE,QUEENS,NY,11427
M440,Hudson High School of Learning Technologies,HS,M,437,M437,351 WEST 18 STREET,MANHATTAN,NY,10011
X440,"DeWitt Clinton High 
School",HS,X,440,X440,100 WEST MOSHOLU PARKWAY SOUTH,BRONX,NY,10468
Q440,Forest Hills High School,HS,Q,440,Q440,67-01 110 STREET,QUEENS,NY,11375
K280,School for Innovation,MS,K,442,K442,500 19th STREET,BROOKLYN,NY,11231
X090,The Family School,PS,X,443,X443,1116 SHERIDAN AVENUE,BRONX,NY,10456
K845,"New Voices School of 
Academic & Creative Arts",MS,K,443,K443,330 18 STREET,BROOKLYN,NY,11215
R445,"Port Richmond High 
School",HS,R,445,R445,85 ST JOSEPHS AVENUE,STATEN ISLAND,NY,10302
X445,"Bronx High School of 
Science",HS,X,445,X445,75 WEST 205 STREET,BRONX,NY,10468
Q445,William Cullen Bryant High School,HS,Q,445,Q445,48-10 31 AVENUE,QUEENS,NY,11103
X401,"Arturo A. Schomburg 
Satellite Academy Bronx",HS,X,446,X446,1010 REV. J. A. POLITE AVENUE,BRONX,NY,10459
K183,"Riverdale Avenue 
Community School",PS,K,446,K446,76 RIVERDALE AVENUE,BROOKLYN,NY,11212
K655,"The Math & Science 
Exploratory School",MS,K,447,K447,345 DEAN STREET,BROOKLYN,NY,11217
X166,Grant Avenue Elementary School,PS,X,449,X449,250 EAST 164 STREET,BRONX,NY,10456
M060,"East Side Community 
School",HS,M,450,M450,420 EAST 12 STREET,MANHATTAN,NY,10009
R450,Curtis High School,HS,R,450,R450,105 HAMILTON AVENUE,STATEN ISLAND,NY,10301
Q452,"Long Island City High 
School",HS,Q,450,Q450,14-30 BROADWAY,QUEENS,NY,11106
M191,PS 452,PS,M,452,M452,210 W 61st St,MANHATTAN,NY,10023
K049,"Green School: 
An Academy for 
Environmental Careers",HS,K,454,K454,223 GRAHAM AVENUE,BROOKLYN,NY,11206
K455,Boys and Girls High School,HS,K,455,K455,1700 FULTON STREET,BROOKLYN,NY,11213
Q455,Newtown High School,HS,Q,455,Q455,48-01 90 STREET,QUEENS,NY,11373
M510,Forsyth Satellite Academy,HS,M,458,M458,198 FORSYTH STREET,MANHATTAN,NY,10002
X050,"Samara Community 
School",PS,X,458,X458,1550 VYSE AVENUE,BRONX,NY,10460
X115,East Fordham Academy for the Arts,MS,X,459,X459,120 EAST 184 STREET,BRONX,NY,10468
,Atmosphere Academy,JHS,X,460,X460,22 Marble Hill Ave,Bronx,NY,10463
X189,Cornerstone Academy for Social Action Middle School (CASA),MS,X,462,X462,3441 STEENWICK AVENUE,BRONX,NY,10475
K460,"Secondary School for 
Journalism",HS,K,463,K463,237 7 AVENUE,BROOKLYN,NY,11215
M465,High School for Law and Public Service,HS,M,467,M467,549 AUDUBON AVENUE,MANHATTAN,NY,10040
X855,@855 The Bronx School for Continuous Learners,P (District 75),X,469,X469,577 East 139th Street,Bronx,NY,10454
,"School of Continuous 
Learners @ 339X",P (District 75),X,469,X469,1600 Webster Avenue,Bronx,NY,10457
R470,Concord High School,HS,R,470,R470,109 RHINE AVENUE,STATEN ISLAND,NY,10304
XAGV,"Family Life Academy 
Charter School III",Charter,X,472,X472,296 EAST 140 STREET,BRONX,NY,10454
M477,Stuyvesant High School,HS,M,475,M475,345 CHAMBERS STREET,MANHATTAN,NY,10282
Q475,Richmond Hill High School,HS,Q,475,Q475,89-30 114 STREET,QUEENS,NY,11418
X158,"Dr. Richard Izquierdo 
Health and Science 
Charter School",HS,X,482,X482,800 HOME STREET,BRONX,NY,10456
MAVC,New York French American Charter School,Charter,M,483,M483,311 WEST 120TH STREET,MANHATTAN,NY,10027
K012,Ronald Edmonds Learning Center II,MS,K,484,K484,430 HOWARD AVENUE,BROOKLYN,NY,11233
M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,HS,M,485,M485,100 AMSTERDAM AVENUE,MANHATTAN,NY,10023
Q485,Grover Cleveland High School,HS,Q,485,Q485,21-27 HIMROD STREET,QUEENS,NY,11385
KBBA,New Dawn Charter High School,Charter,K,486,K486,242 HOYT STREET,BROOKLYN,NY,11217
X052,Girls Preparatory Charter School of the Bronx,Charter,X,487,X487,681 KELLY STREET,BRONX,NY,10455
Q480,John Adams- YABC,HS,Q,487,Q487,101 Rockaway Blvd,Ozone Park,NY,11417
X160,"The Equality Charter 
School",Charter,X,488,X488,"4140 HUTCHINSON RIVER 
PKWAY EA",BRONX,NY,10475
M490,High School of Arts and Technology,HS,M,494,M494,122 AMSTERDAM AVENUE,MANHATTAN,NY,10023
X055,Success Academy Charter School - Bronx 2,PS,X,494,X494,450 SAINT PAUL'S PLACE,BRONX,NY,10456
X470,"University Heights 
Secondary School",HS,X,495,X495,701 ST. ANNS AVENUE,BRONX,NY,10455
M013,Central Park East I,PS,M,497,M497,1573 MADISON AVENUE,MANHATTAN,NY,10029
K293,Boerum Hill School for International Studies,HS,K,497,K497,284 BALTIC STREET,BROOKLYN,NY,11201
K987,Brooklyn High School for Law and Technology,HS,K,498,K498,1396 BROADWAY,BROOKLYN,NY,11221
M010,"Frederick Douglass 
Academy",HS,M,499,M499,2581 7TH AVENUE,MANHATTAN,NY,10039
M506,Edward A. Reynolds West Side High School,HS,M,505,M505,140 WEST 102 STREET,MANHATTAN,NY,10025
X460,"Bronx School for Law, 
Government and Justice",,X,505,X505,244 EAST 163 STREET,BRONX,NY,10451
Q505,Hillcrest High School,HS,Q,505,Q505,160-05 HIGHLAND AVENUE,QUEENS,NY,11432
K314,The School of Journalism & Technology,PS,K,506,K506,330 59th St,BROOKLYN,NY,11220
K435,World Academy for Total Community Health High School,HS,K,510,K510,400 PENNSYLVANIA AVENUE,BROOKLYN,NY,11207
K435,World Academy for Total Community Health High School,HS,K,510,K510,400 PENNSYLVANIA AVENUE,BROOKLYN,NY,11207
M025,"Lower East Side 
Preparatory High School",HS,M,515,M515,145 STANTON STREET,MANHATTAN,NY,10002
K333,"Sunset Park Avenue 
Elementary School",PS,K,516,K516,4222 4th Avenue,BROOKLYN,NY,11232
M916,"Teachers College 
Community School",PS,M,517,M517,168 MORNINGSIDE AVENUE,MANHATTAN,NY,10027
M520,"Murry Bergtraum High School for Business 
Careers",HS,M,520,M520,411 PEARL STREET,MANHATTAN,NY,10038
X600,"Bronx Design and 
Construction Academy",HS,X,522,X522,333 EAST 151 STREET,BRONX,NY,10451
K271,Mott Hall IV,MS,K,522,K522,1137 HERKIMER STREET,BROOKLYN,NY,11233
K440,International High School at Prospect Heights,HS,K,524,K524,883 CLASSON AVENUE,BROOKLYN,NY,11225
X876,"Bronx Leadership 
Academy High School",HS,X,525,X525,1710 WEBSTER AVENUE,BRONX,NY,10457
K525,Edward R. Murrow High School,HS,K,525,K525,1600 AVENUE L,BROOKLYN,NY,11230
K313,Urban Assembly Institute of Math and Science for Young Women,MS,K,527,K527,283 ADAMS STREET,BROOKLYN,NY,11201
M486,"Jacqueline Kennedy 
Onassis High School",HS,M,529,M529,120 WEST 46 STREET,MANHATTAN,NY,10036
K470,"School for Human Rights, The",HS,K,531,K531,600 KINGSTON AVENUE,BROOKLYN,NY,11203
X142,Baychester Middle School,MS,X,532,X532,3750 BAYCHESTER AVENUE,BRONX,NY,10466
K470,School for Democracy and Leadership,HS,K,533,K533,600 KINGSTON AVENUE,BROOKLYN,NY,11203
X102,,PS,X,536,X536,1827 ARCHER STREET,BRONX,NY,10460
K067,Community Roots Charter School,Charter,K,536,K536,51 SAINT EDWARDS STREET,BROOKLYN,NY,11205
K465,High School for Youth and Community Development at Erasmus,HS,K,537,K537,911 FLATBUSH AVENUE,BROOKLYN,NY,11226
K465,High School for Youth and Community Development at Erasmus,HS,K,537,K537,911 FLATBUSH AVENUE,BROOKLYN,NY,11226
K383,"Achievement First 
Bushwick Charter School",Charter,K,538,K538,1300 GREENE AVENUE,BROOKLYN,NY,11237
M022,"New Explorations into Science, Technology and Math High School",PS/MS,M,539,M539,111 COLUMBIA STREET,MANHATTAN,NY,10002
M022,"New Explorations into Science, Technology and Math High School",PS/MS,M,539,M539,111 COLUMBIA STREET,MANHATTAN,NY,10002
M490,Manhattan Hunter Science High School,HS,M,541,M541,122 AMSTERDAM AVENUE,MANHATTAN,NY,10023
M445,New Design High School,HS,M,543,M543,350 GRAND STREET,MANHATTAN,NY,10002
X400,High School for Violin and Dance,HS,X,543,X543,1110 BOSTON ROAD,BRONX,NY,10456
M834,"Independence High 
School",HS,M,544,M544,850 10TH AVENUE,MANHATTAN,NY,10019
K470,International Arts Business School,HS,K,544,K544,600 Kingston Avenue,Brooklyn,NY,11203
X475,Bronx Theatre High School,HS,X,546,X546,99 TERRACE VIEW AVENUE,BRONX,NY,10463
K470,"High School for Public Service: Heroes of 
Tomorrow",HS,K,546,K546,600 KINGSTON AVENUE,BROOKLYN,NY,11203
X790,Urban Assembly School for Careers in Sports,HS,X,548,X548,730 CONCOURSE VILLAGE WEST,BRONX,NY,10451
K480,Bushwick School for Social Justice,,K,549,K549,400 IRVING AVENUE,BROOKLYN,NY,11237
M877,Urban Assembly New York Harbor School,HS,M,551,M551,"10 SOUTH STREET, SLIP 7",MANHATTAN,NY,10004
X183,"The Urban Assembly 
Bronx Academy of Letters",HS,X,551,X551,339 MORRIS AVENUE,BRONX,NY,10451
K480,"Academy of Urban 
Planning",HS,K,552,K552,400 IRVING AVENUE,BROOKLYN,NY,11237
XAFI,New York City Montessori Charter School,Charter,X,554,X554,423 East 138th Street,Bronx,NY,10454
M013,Central Park East High School,HS,M,555,M555,1573 MADISON AVENUE,MANHATTAN,NY,10029
X240,Mount Eden Children's Academy,PS,X,555,X555,1501 JEROME AVENUE,BRONX,NY,10452
Q450,Newcomers High School,HS,Q,555,Q555,28-01 41 AVENUE,QUEENS,NY,11101
K865,"Bushwick Leaders High School for Academic 
Excellence",HS,K,556,K556,797 BUSHWICK AVENUE,BROOKLYN,NY,11221
K174,"Brooklyn Gardens 
Elementary School",PS,K,557,K557,574 DUMONT AVENUE,BROOKLYN,NY,11207
M641,High School M560 - City As School,HS,M,560,M560,16 CLARKSON STREET,MANHATTAN,NY,10014
K650,Williamsburg Preparatory School,HS,K,561,K561,257 NORTH 6 STREET,BROOKLYN,NY,11211
K296,Evergreen Middle School for Urban Exploration,IS,K,562,K562,125 COVERT STREET,BROOKLYN,NY,11207
X660,High School for Energy and Technology,HS,X,565,X565,2474 CROTONA AVENUE,BRONX,NY,10458
X144,Pelham Gardens Middle School,MS,X,566,X566,2545 GUNTHER AVENUE,BRONX,NY,10469
K515,"Brooklyn Generation 
School",HS,K,566,K566,6565 FLATLANDS AVENUE,BROOKLYN,NY,11236
Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",HS,Q,566,Q566,74-20 COMMONWEALTH BLVD,QUEENS,NY,11426
X127,Linden Tree Elementary School,PS,X,567,X567,1560 PURDY STREET,BRONX,NY,10462
K515,"Brooklyn Theatre Arts 
High School",HS,K,567,K567,6565 FLATLANDS AVENUE,BROOKLYN,NY,11236
K907,Brownsville Academy High School,HS,K,568,K568,1150 EAST NEW YORK AVENUE,BROOKLYN,NY,11212
K415,Kurt Hahn Expeditionary Learning School,HS,K,569,K569,5800 TILDEN AVENUE,BROOKLYN,NY,11203
K458,"Bedford Stuyvesant 
Preparatory High School",HS,K,575,K575,832 MARCY AVENUE,BROOKLYN,NY,11216
,,PS,X,583,X583,1028 White Plains Road,Bronx,NY,10472
Q585,Maspeth High School,HS,Q,585,Q585,54-40 74TH STREET,QUEENS,NY,11373
K049,Lyons Community School,MS/HS,K,586,K586,223 GRAHAM AVENUE,BROOKLYN,NY,11206
K252,Middle School for Art and Philosophy,,K,588,K588,1084 LENOX ROAD,BROOKLYN,NY,11212
K590,Medgar Evers College Preparatory School,MS/HS,K,590,K590,1186 CARROLL STREET,BROOKLYN,NY,11225
K040,Gotham Professional Arts Academy,,K,594,K594,265 RALPH AVENUE,BROOKLYN,NY,11233
,,PS,X,595,X595,700 East 179th Street,Bronx,NY,10457
K073,"Brooklyn Landmark 
Elementary School",PS,K,599,K599,251 MCDOUGAL STREET,BROOKLYN,NY,11233
Q600,Queens Vocational and Technical High School,HS,Q,600,Q600,37-02 47 AVENUE,QUEENS,NY,11101
Q610,"Aviation Career & 
Technical Education High School",HS,Q,610,Q610,45-30 36 STREET,QUEENS,NY,11101
K610,Automotive High School,HS,K,610,K610,50 BEDFORD AVENUE,BROOKLYN,NY,11222
K610,Automotive High School,HS,K,610,K610,50 BEDFORD AVENUE,BROOKLYN,NY,11222
K117,"Brooklyn High School 
for Leadership and 
Community Service",HS,K,616,K616,300 WILLOUGHBY AVENUE,BROOKLYN,NY,11205
K420,Academy of Innovative Technology,HS,K,618,K618,999 JAMAICA AVENUE,BROOKLYN,NY,11208
K620,William E. Grady Career and Technical Education High School,HS,K,620,K620,25 BRIGHTON 4TH ROAD,BROOKLYN,NY,11235
Q620,Thomas A. Edison Career and Technical Education High School,HS,Q,620,Q620,165-65 84 AVENUE,QUEENS,NY,11432
K304,"Brighter Choice 
Community School",,K,627,K627,280 HART STREET,BROOKLYN,NY,11206
K035,Brooklyn Brownstone School,PS,K,628,K628,272 MACDONOUGH STREET,BROOKLYN,NY,11233
K495,Professional Pathways High School,HS,K,630,K630,3000 AVENUE X,BROOKLYN,NY,11235
K495,Professional Pathways High School,HS,K,630,K630,3000 AVENUE X,BROOKLYN,NY,11235
K515,Academy for Conservation and the Environment,HS,K,637,K637,6565 FLATLANDS AVENUE,BROOKLYN,NY,11236
K271,Eagle Academy for Young Men II,MS/HS,K,644,K644,1137 HERKIMER STREET,BROOKLYN,NY,11233
M645,School of Cooperative Technical Education,HS,M,645,M645,321 East 96th Street,New York,NY,10128
K894,Aspirations Diploma Plus High School,HS,K,646,K646,1495 HERKIMER STREET,BROOKLYN,NY,11233
K166,Van Siclen Community Middle School,,K,654,K654,800 VAN SICLEN AVE,BROOKLYN,NY,11207
M645,Life Sciences Secondary School,,M,655,M655,320 EAST 96 STREET,MANHATTAN,NY,10128
X655,Samuel Gompers Career and Technical Education High School,HS,X,655,X655,455 Southern Blvd,Bronx,NY,10455
K420,Cypress Hills Collegiate Preparatory School,HS,K,659,K659,999 JAMAICA AVENUE,BROOKLYN,NY,11208
,,Pre-K,K,664,K664,140 58th Street,Brooklyn,NY,11238
Q707,"Robert F. Kennedy 
Community High School",HS,Q,670,Q670,75-40 PARSONS BOULEVARD,QUEENS,NY,11366
K263,"Mott Hall Bridges 
Academy",MS,K,671,K671,210 CHESTER STREET,BROOKLYN,NY,11212
K072,East New York Elementary School of Excellence,,K,677,K677,605 SHEPHERD AVENUE,BROOKLYN,NY,11208
X878,"Fannie Lou Hamer 
Freedom High School",HS,X,682,X682,1021 JENNINGS STREET,BRONX,NY,10460
M136,Bread & Roses Integrated Arts High School,HS,M,685,M685,6 EDGECOMBE AVENUE,MANHATTAN,NY,10030
K237,Brooklyn School of Inquiry,PS/MS,K,686,K686,50 AVENUE P,BROOKLYN,NY,11204
K111,"Achievement First 
University Prep",Charter,K,687,K687,35 STARR STREET,BROOKLYN,NY,11221
K721,"Brooklyn Studio 
Secondary School",MS/HS,K,690,K690,8310 21ST AVENUE,BROOKLYN,NY,11214
K175,Teachers Preparatory High School,HS,K,697,K697,226 BRISTOL STREET,BROOKLYN,NY,11212
K825,"South Brooklyn 
Community High School",HS,K,698,K698,173 CONOVER STREET,BROOKLYN,NY,11231
M202,Sisulu-Walker Charter School of Harlem,Charter,M,702,M702,125 WEST 115 STREET,MANHATTAN,NY,10026
XAFP,Bronx Preparatory Charter School,,X,703,X703,3872 THIRD AVENUE,BRONX,NY,10457
X151,KIPP Academy Charter School,Charter,X,704,X704,250 EAST 156 STREET,BRONX,NY,10451
QACS,Merrick Academy - Queens Public Charter School,CS,Q,704,Q704,136-25 218 STREET,QUEENS,NY,11413
XABC,"Family Life Academy 
Charter School",Charter,X,705,X705,14 WEST 170 STREET,BRONX,NY,10452
K022,Brooklyn Arts and Science Elementary School,PS,K,705,K705,443 ST MARKS AVENUE,BROOKLYN,NY,11238
Q885,"Renaissance Charter 
School",Charter,Q,705,Q705,35-59 81ST STREET,QUEENS,NY,11372
MAEG,John V. Lindsay Wildcat Academy Charter School,Charter,M,707,M707,17 BATTERY PLACE,MANHATTAN,NY,10004
KAGI,Brooklyn Prospect Charter School- Clinton Hill Middle School,MS/HS,K,707,K707,1100 Fulton St,BROOKLYN,NY,11238
X937,Bronx Charter School for Better Learning,Charter,X,718,X718,3740 BAYCHESTER AVENUE,BRONX,NY,10466
,"Annex of Manhattan 
Occupational Training Center",P (District 75),M,721,M721,400 First Avenue,New York,NY,10010
M641,Manhattan Occupational Training Center,PS,M,721,M721,250 WEST HOUSTON STREET,MANHATTAN,NY,10014
,The Hungerford School - Main Site,P (District 75),R,721,R721,155 Tompkins Avenue.,"Staten Island,",NY,10304
R722,The Richard H. Hungerford School @JPS,P (District 75),R,721,R721,100 Essex Drive,STATEN ISLAND,NY,10314
X722,"Stephen McSweeney 
School",PS,X,721,X721,2697 WESTCHESTER AVENUE,BRONX,NY,10461
,P721X@P368X,P (District 75),X,721,X721,2975 Tibett Avenue,Bronx,NY,10463
,@ Monroe Annex,P (District 75),X,721,X721,1551 East 172nd Street,Bronx,NY,10472
K722,Brooklyn Occupational Training Center,PS,K,721,K721,64 AVENUE X,BROOKLYN,NY,11223
Q722,John F. Kennedy,HS,Q,721,Q721,57-12 94 STREET,QUEENS,NY,11373
,@Ittleson Day Treatment,P (District 75),X,723,X723,"5050 Iselin Ave, Bronx, NY 10471",Bronx,NY,10471
X701,@Byron,P (District 75),X,723,X723,3540 BIVONA STREET,BRONX,NY,10475
,723@189,P (District 75),X,723,X723,3441 Steenwick Avenue,Bronx,NY,10475
K297,The Ethical Community Charter School (TECCS),PS,K,734,K734,700 PARK AVENUE,BROOKLYN,NY,11206
K415,New American Academy Charter School,PS,K,736,K736,5800 TILDEN AVENUE,BROOKLYN,NY,11203
KBVT,"Brownsville Ascend 
Charter School",,K,737,K737,1501 PITKIN AVENUE,BROOKLYN,NY,11212
K470,"Brooklyn Institute for 
Liberal Arts",HS,K,745,K745,600 KINGSTON AVENUE,BROOKLYN,NY,11203
KBVU,"Hebrew Language 
Academy Charter School",CS,K,746,K746,2186 Mill Avenue,BROOKLYN,NY,11234
M751,"Manhattan School for Career Development 
Preparatory (MSCD)",P (District 75),M,751,M751,113 EAST 4TH STREET,MANHATTAN,NY,10003
K085,"School for Career 
Development",HS,K,753,K753,510 CLERMONT AVENUE,BROOKLYN,NY,11238
,George Washington YABC,P (District 75),M,754,M754,549 Audobon Avenue,New York,NY,10040
X155,"J. M. Rapport School 
Career Development",HS,X,754,X754,470 JACKSON AVENUE,BRONX,NY,10455
K280,Brooklyn Urban Garden Charter School,Charter,K,758,K758,500 19TH STREET,BROOKLYN,NY,11215
K171,Highland Park Community School,IS,K,760,K760,528 RIDGEWOOD AVENUE,BROOKLYN,NY,11208
K398,New American Academy,PS,K,770,K770,60 EAST 94 STREET,BROOKLYN,NY,11212
K236,@PS236,PS,K,771,K771,6302 Avenue U,Brooklyn,NY,11234
KAKB,Bedford Stuyvesant New Beginnings Charter School,PS/MS,K,782,K782,82 LEWIS AVENUE,BROOKLYN,NY,11206
KAKM,Imagine Me Leadership Charter School,,K,785,K785,818 SCHENCK AVENUE,BROOKLYN,NY,11207
K113,Compass Charter School,PS,K,789,K789,300 ADELPHI STREET,BROOKLYN,NY,11205
KBXV,The Cultural Arts Academy at Spring Creek Charter School,CS,K,792,K792,1400 LINDEN BOULEVARD,BROOKLYN,NY,11212
M841,Mickey Mantle School,PS,M,811,M811,466 WEST END AVENUE,MANHATTAN,NY,10024
,The Mickey Mantle School: 811M@149,P (District 75),M,811,M811,34 West 118th Street,New York,NY,10026
X084,Academy for Career and Living Skills,PS,X,811,X811,1434 LONGFELLOW AVENUE,BRONX,NY,10459
K286,Connie Lekas School,PS,K,811,K811,2525 HARING STREET,BROOKLYN,NY,11235
,"Main Site- Marathon 
School",P (District 75),Q,811,Q811,61-25 Marathon Parkway,Little Neck,NY,11362
Q822,@P 822 Q,P (District 75),Q,811,Q811,114-36 202nd Street,St. Albans,NY,11412
Q811,PS811Q@ Queens High School of Teaching,PS,Q,811,Q811,74-20 Commonwealth Blvd.,Bellerose,NY,11426
M828,"Manhattan Alternate 
Learning Center @ 
Highbridge",PS,M,828,M828,80 Audubon Avenue,NYC,NY,10032
M064,Tompkins Square Middle School,MS,M,839,M839,600 EAST 6 STREET,MANHATTAN,NY,10009
R861,Staten Island School of Civic Leadership,PS,R,861,R861,280 REGIS DRIVE,STATEN ISLAND,NY,10314
,,PS,K,889,K889,21 Hinckley Place,Brooklyn,NY,11218
,MS 890,MS,K,890,K890,21 HINCKLEY PLACE,BROOKLYN,NY,11218
,"The Genovesi 
Environmental Study 
Center",,K,905,K905,7151 Avenue T,Brooklyn,NY,11234
,,MS,K,915,K915,105 Johnson Street,Brooklyn,NY,11201
,"Bedford Stuyvesant 
Complex/Referral Center",,K,950,K950,832 Marcy Avenue,Brooklyn,NY,11216
M171,Central Park East II,PS,M,964,M964,19 EAST 103 STREET,MANHATTAN,NY,10029
K971,"School of Math, Science, and Healthy Living",PS,K,971,K971,6214 4TH AVENUE,BROOKLYN,NY,11220
K460,Brooklyn East Alternative Learning Center - John Jay,HS,K,987,K987,237 7th Avenue,BROOKLYN,NY,11215
Q072,P993Q @ MS72,P (District 75),Q,993,Q993,133-25 Guy Brewer Blvd,Jamaica,NY,11434
,"Hunter College 
Elementary School",PS,M,998,M998,71 East 94th Street,New York,NY,10128
,Promise Academy 1 Upper,Charter,M,999,M999,245 West 129th St,New York,NY,10027
K243,The Weeksville School,PS,K,243K,K243K,1580 DEAN STREET,BROOKLYN,NY,11213
,Hudson Guild Children's Center,Pre-K,M,,M,459 West 26th Street,New York,NY,10001
,Grace Church School-High School,Private,M,,M,46 Cooper Square,Manhattan,NY,10003
,Child Center of New York Escalera Head Start,Pre-K,M,,M,169 West 87th Street,New York,NY,10024
,Open Door Child Care Center,Pre-K,M,,M,820 Columbus Avenue,New York,NY,10025
,Nasry Michelen Day Care Center Inc,Pre-K,M,,M,415 W. 150th St,New York,NY,10031
,Nicholas Cardell Day Care Center,Pre-K,M,,M,84 Vermilyea Avenue,New York,NY,10034
R825,"ALC @ Mt. Loretto, 
Brooklyn West Alternate Learning Center",JHS,R,,R,6581 Hylan Blvd,Staten Island,NY,10309
,Sheltering Arms Children and Family Services,Pre-K,X,,X,565 Morris Avenue,Bronx,NY,10451
,Mid Bronx CCRP Head Start - Grand Concourse,Pre-K,X,,X,1125 Grand Concourse,Bronx,NY,10452
,Bronxworks,Pre-K,X,,X,1130 Grand Concourse,Bronx,NY,10456
X410,"The Urban Assembly 
Academy for History and Citizenship for Young Men",HS,X,,X,240 East 172 Street,Bronx,NY,10457
,Bellevue Day Care Center,Pre-K,M,,M,462 First Avenue,New York,NY,11016
,Adventureland Child Care Center,Pre-K,Q,,Q,32-04 31 Avenue,Queens,NY,11106
,"Tompkins Childrens 
Center",Pre-K,K,,K,730 Park Avenue,Brooklyn,NY,11206
,Bushwick United Day Care Center,Pre-K,K,,K,243 S. 2nd St.,Brooklyn,NY,11211
,Inner Force Tots,Pre-K,K,,K,1181 E. New York Avenue,Brooklyn,NY,11212
,Little Sun People,Pre-K,K,,K,1360 Fulton Street,Brooklyn,NY,11216
,Ace Integration Head Start,Pre-K,K,,K,1419 Broadway,Brooklyn,NY,11221
,St. Mark's Head Start & UPK,Pre-K,K,,K,2017 Beverly Road,Brooklyn,NY,11226
K500,Brooklyn STEP Academy at Canarsie Educational Campus,HS,K,,K,1600 Rockaway Parkway,Brooklyn,NY,11236
,Bushwick United Head Start,Pre-K,K,,K,77 Wilson Avenue,Brooklyn,NY,11237
,Child Center of New York Woodside,Pre-K,Q,,Q,60-02 Roosevelt Avenue,Queens,NY,11377
