"BUILDING 
CODE",SCHOOL NAME,TYPE,Borough,NUMBER,boro_code,ADDRESS,BOROUGH,STATE,ZIP
K110,The Monitor,PS,K,110,K110,124 MONITOR STREET,BROOKLYN,NY,11222
Q112,Dutch Kills,PS,Q,112,Q112,25-05 37 AVENUE,QUEENS,NY,11101
K112,Le!erts Park,PS,K,112,K112,7115 15 AVENUE,BROOKLYN,NY,11228
K113,Ronald Edmonds Learning Center,MS,K,113,K113,300 ADELPHI STREET,BROOKLYN,NY,11205
X114,Luis Llorens Elementary School,PS,X,114,X114,1155 Cromwell Avenue,BRONX,NY,10452
K115,Daniel Mucatel School,PS,K,115,K115,1500 EAST 92 STREET,BROOKLYN,NY,11236
Q117,J. Keld / Briarwood School,PS,Q,117,Q117,85-15 143 STREET,QUEENS,NY,11435
K763,"The Maurice Sendak 
Community School",PS,K,118,K118,211 8TH STREET,BROOKLYN,NY,11215
K119,Amersfort,PS,K,119,K119,3829 AVENUE K,BROOKLYN,NY,11210
X121,Throop,PS,X,121,X121,2750 THROOP AVENUE,BRONX,NY,10469
K121,Nelson A. Rockefeller,PS,K,121,K121,5301 20 AVENUE,BROOKLYN,NY,11204
Q122,Mamie Fay,PS,Q,122,Q122,21-21 DITMARS BOULEVARD,QUEENS,NY,11105
K123,Suydam,PS,K,123,K123,100 IRVING AVENUE,BROOKLYN,NY,11237
K124,Silas B. Dutcher,PS,K,124,K124,515 4 AVENUE,BROOKLYN,NY,11215
Q124,Osmond A Church,PS,Q,124,Q124,129-15 150 AVENUE,QUEENS,NY,11420
X125,Henry Hudson,JHS,X,125,X125,1111 PUGSLEY AVENUE,BRONX,NY,10472
M125,Ralph Bunche,PS,M,125,M125,425 W 123 Street,MANHATTAN,NY,
M126,Manhattan Academy of Technology (aka Jacob Riis),PS/MS,M,126,M126,80 CATHERINE STREET,MANHATTAN,NY,10038
X126,Dr Marjorie H Dunbar,PS,X,126,X126,175 WEST 166 STREET,BRONX,NY,10452
Q126,Albert Shanker School for Visual and Performing Arts,IS,Q,126,Q126,31-51 21 STREET,QUEENS,NY,11106
